,deltaI score,deltaR score
Decision Tree spec points,0.99742797058926,0.9946179036577468
Random Forest spec points,0.99960523375858,0.9991933781111098
AdaBoost spec points,0.9998583040051074,0.9992173298005861
Gradient Boosting spec points,0.997907297223857,0.9961950220953865
Independent Random Forests spec points,0.9999102838425773,0.9994772523421173
