,deltaI score,deltaR score
Decision Tree spec points,0.9988117177092811,0.99945426635866
Decision Tree peak info,0.9971913063927027,0.998060613970507
Decision Tree spec points and peak info,0.9988321915461381,0.9994415681294757
Random Forest spec points,0.999874245559553,0.9999427412026509
Random Forest peak info,0.9981392771823455,0.9986383331539671
Random Forest spec points and peak info,0.9998689080162633,0.999944794540557
AdaBoost spec points,0.9999117635177126,0.9999795867356046
AdaBoost peak info,0.997798791752997,0.9985962226811237
AdaBoost spec points and peak info,0.999889916718995,0.9999774558114476
Gradient Boosting spec points,0.9975347288095869,0.9981569472257541
Gradient Boosting peak info,0.9959509932812275,0.9966545013789904
Gradient Boosting spec points and peak info,0.998158727742831,0.9975487324081669
Independent Random Forests spec points,0.9999056950028723,0.9999834221636351
Independent Random Forests peak info,0.9980694453396596,0.9987221173190307
Independent Random Forests spec points and peak info,0.9999091580740535,0.9999824771663103
